,이 닝,0 점,1+ 점,1 점,2 점,3 점,4 점,5+ 점,최 다,평 균,Season
7,8,96,48,17,14,6,7,4,7,0.8,2018
8,9,53,48,23,10,12,2,1,5,0.91,2018
9,10,11,3,0,1,1,0,1,5,0.71,2018
10,11,4,1,1,0,0,0,0,1,0.2,2018
11,12,0,1,1,0,0,0,0,1,1.0,2018
0,1,99,45,21,10,8,4,2,6,0.64,2019
1,2,108,36,21,6,4,1,4,9,0.51,2019
2,3,103,41,19,6,8,4,4,10,0.69,2019
3,4,105,39,21,9,3,3,3,6,0.53,2019
4,5,106,38,21,6,6,2,3,8,0.55,2019
5,6,96,48,27,10,8,1,2,7,0.6,2019
6,7,101,43,22,8,5,5,3,6,0.63,2019
7,8,97,47,27,13,5,2,0,4,0.53,2019
8,9,74,29,16,7,4,0,2,7,0.52,2019
9,10,7,3,3,0,0,0,0,1,0.3,2019
10,11,2,2,1,0,0,0,1,5,1.5,2019
11,12,1,1,1,0,0,0,0,1,0.5,2019
0,1,91,53,29,11,8,2,3,6,0.69,2020
1,2,105,39,18,9,5,4,3,8,0.59,2020
2,3,94,50,19,16,8,5,2,6,0.74,2020
3,4,91,53,25,17,7,4,0,4,0.67,2020
4,5,100,44,16,17,6,5,0,4,0.61,2020
5,6,93,50,21,15,9,2,3,7,0.73,2020
6,7,101,42,20,14,6,1,1,5,0.52,2020
7,8,98,45,26,11,3,3,2,9,0.58,2020
8,9,69,40,24,9,4,1,2,5,0.62,2020
9,10,9,2,1,0,0,1,0,4,0.45,2020
10,11,6,3,3,0,0,0,0,1,0.33,2020
11,12,2,1,0,0,1,0,0,3,1.0,2020
0,1,101,43,13,15,9,3,3,9,0.71,2021
1,2,107,37,21,10,2,1,3,6,0.47,2021
2,3,104,40,16,14,3,5,2,8,0.6,2021
3,4,91,53,31,12,5,3,2,7,0.66,2021
4,5,102,42,22,15,4,1,0,4,0.47,2021
5,6,104,40,18,14,5,3,0,4,0.51,2021
6,7,97,46,27,5,6,3,5,7,0.66,2021
7,8,95,48,26,9,7,4,2,5,0.64,2021
8,9,81,29,14,7,6,1,1,5,0.5,2021
9,10,2,3,2,0,0,0,1,5,1.4,2021
10,11,3,0,0,0,0,0,0,0,0.0,2021
11,12,1,0,0,0,0,0,0,0,0.0,2021
0,1,102,42,23,5,6,5,3,11,0.65,2022
1,2,106,38,23,8,5,2,0,4,0.43,2022
2,3,109,35,21,7,5,1,1,6,0.42,2022
3,4,107,37,22,9,4,1,1,5,0.42,2022
4,5,113,31,15,10,3,1,2,5,0.4,2022
5,6,103,41,20,11,8,1,1,9,0.55,2022
6,7,107,37,24,2,5,4,2,7,0.49,2022
7,8,101,43,22,11,6,1,3,5,0.56,2022
8,9,84,31,15,8,2,3,3,6,0.57,2022
9,10,9,2,1,1,0,0,0,2,0.27,2022
10,11,5,2,1,0,0,1,0,4,0.71,2022
11,12,4,0,0,0,0,0,0,0,0.0,2022
